track_id,Unnamed: 0,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6h061f44HZPj1OXO2nA45d,35,0.0,0.049559553166281446,0,0.296,0.206,0,0.6979264931653811,1,0.04269430051813472,0.782,0.000225,0.0959,0.202,0.6796180332988182
62EwQLDw0dprDzuLwQ0sH1,36,0.0,0.04916526565717608,0,0.409,0.153,6,0.7175147513086583,0,0.03170984455958549,0.939,2.56e-05,0.108,0.18,0.3503361109741466
3lvo0I8c2qBJDLZWqExDgC,37,0.0,0.04731278264829459,0,0.501,0.0952,2,0.6769879584928694,1,0.05595854922279793,0.963,1.58e-05,0.0915,0.316,0.5670989267458869
1ae8XfBQ3fDEvmBjFaemGV,38,0.0,0.039384262295707996,0,0.606,0.326,10,0.7306290808871132,1,0.030466321243523317,0.841,0.0,0.139,0.414,0.37648538040530544
0adVktNVJXPZfhQe6B1NO5,39,0.0,0.04916526565717608,0,0.409,0.153,6,0.7175147513086583,0,0.03170984455958549,0.939,2.56e-05,0.108,0.18,0.3503361109741466
6sp6Vx3sv2l5qxPfbQkcyt,40,0.0,0.05857871286608832,0,0.474,0.519,7,0.8183045705935666,1,0.026217616580310882,0.281,0.0,0.107,0.326,0.6238679881005209
1WFVfVjCtbmdIv7j3Fa9iy,41,0.0,0.0509728781747066,0,0.568,0.301,10,0.7281874849712371,0,0.038652849740932645,0.796,3.37e-06,0.118,0.142,0.3617055372023075
0e5PAxSyZ5DWWVqKANHETz,42,0.0,0.0439345119952189,0,0.568,0.686,1,0.7934446849046483,1,0.03419689119170985,0.15,1.81e-06,0.0881,0.725,0.7070451818615123
1MLr9b1fOybO3MGiLy47Ys,43,0.0,0.0439345119952189,0,0.568,0.686,1,0.7934446849046483,1,0.03419689119170985,0.15,1.81e-06,0.0881,0.725,0.7070451818615123
6JGjevTaqr9J1xp7YvYUKF,44,0.0,0.03703113916630627,0,0.476,0.666,6,0.8525793981096128,1,0.046217616580310886,0.314,0.0,0.342,0.498,0.6087594300083822
7Af2YlwMZryKOQiRfwMsD2,45,0.0,0.0439345119952189,0,0.568,0.686,1,0.7934446849046483,1,0.03419689119170985,0.15,1.81e-06,0.0881,0.725,0.7070451818615123
3RE5nHIVkC4KcA7snFaTKd,46,0.0,0.0439345119952189,0,0.568,0.686,1,0.7934446849046483,1,0.03419689119170985,0.15,1.81e-06,0.0881,0.725,0.7070451818615123
0JvkNRyq8Tmot9khpdtN0I,47,0.0,0.0439345119952189,0,0.568,0.686,1,0.7934446849046483,1,0.03419689119170985,0.15,1.81e-06,0.0881,0.725,0.7070451818615123
27gHtbsHClwimHFtKgFop4,48,0.0,0.0439345119952189,0,0.568,0.686,1,0.7934446849046483,1,0.03419689119170985,0.15,1.81e-06,0.0881,0.725,0.7070451818615123
1QBNBGeIRRGBnLhdlHbfI8,49,0.0,0.0439345119952189,0,0.568,0.686,1,0.7934446849046483,1,0.03419689119170985,0.15,1.81e-06,0.0881,0.725,0.7070451818615123
72xTsTouZ5nBmASX8k1XCW,50,0.46,0.04068856155706333,0,0.596,0.2,0,0.7233597839557553,0,0.031606217616580314,0.91,0.000183,0.0884,0.308,0.44332544417599395
3ILmwMefYZoQh5Cf5jeuUQ,51,0.61,0.044366414341754666,0,0.373,0.914,0,0.8387621848584058,1,0.058549222797927465,0.076,0.0,0.669,0.56,0.6911641437798925
2DHDuADAHoUW6n0z80RLQF,52,0.6,0.04603884257044906,0,0.494,0.652,6,0.807724321624771,0,0.03253886010362694,0.0754,0.00256,0.125,0.298,0.5629982085038542
5JDcQAztvZTIkrWoZihgvC,53,0.68,0.04205205167934974,0,0.447,0.393,5,0.7561733533100271,1,0.039378238341968914,0.785,0.0,0.28,0.564,0.30052347846095684
2sYFi9xVSZ56WHKSY2fN1K,54,0.52,0.03275412211838363,0,0.576,0.331,6,0.7425041155688732,0,0.03170984455958549,0.894,3.44e-05,0.129,0.407,0.6123136597472183
6xJOhSm4SvZwzy3uhWz26O,55,0.62,0.05477350426126464,0,0.536,0.89,1,0.8195808593677746,1,0.038860103626943004,0.078,0.0202,0.131,0.273,0.5011833736009073
7lLKxcNeJtDTWVRKHovLEC,56,0.51,0.0447698668873913,0,0.526,0.333,4,0.6753417309435288,1,0.03253886010362694,0.91,0.168,0.111,0.159,0.3901475929852242
25UzeaV47eDT44Fovve6xQ,57,0.0,0.041242664390682596,0,0.501,0.381,0,0.7414127961822318,1,0.03730569948186528,0.687,0.00133,0.119,0.502,0.32902305934947323
4oa14QBfWRDfJy2agySy0L,58,0.67,0.044442789646181854,0,0.27,0.275,0,0.7245990788524499,1,0.03689119170984456,0.834,0.0,0.146,0.231,0.6942622816100454
2gRKq9rIC5i1zuxp06zJWH,59,0.57,0.034101573426740334,1,0.731,0.507,0,0.7963672012281967,1,0.04766839378238342,0.572,0.0,0.0912,0.265,0.4847270844632907
08MFgEQeVLF37EyZ7jcwLc,60,0.75,0.04857469361569283,0,0.375,0.457,3,0.7863603573608567,1,0.032642487046632127,0.868,0.0145,0.191,0.415,0.7184022812813305
